2025/06/02 00:00:00 (UTC-4), INFO,【开始回测】dca-free策略已开始回测。
2025/06/06 09:30:00 (UTC-4), INFO,【订单状态】已提交，等待成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,【成交状态】正常。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；成交数量：20.0股；成交价格：598.66。
2025/06/06 09:30:00 (UTC-4), INFO,【订单状态】全部成交。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；订单类型：市价单；订单数量：20.0股；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,订单委托成功。标的：标普500ETF-SPDR（US.SPY）；交易方向：买；数量：20.0股；订单类型：市价单；期限：当日有效。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【订单状态】等待提交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【订单状态】已提交，等待成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【成交状态】正常。标的：Contract(US.SPY)；交易方向：买；成交数量：20股；成交价格：598.66。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：【订单状态】全部成交。标的：Contract(US.SPY)；交易方向：买；订单类型：市价单；订单数量：20股；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：订单委托成功。标的：Contract(US.SPY)；交易方向：买；数量：20股；订单类型：市价单；期限：当日有效。。
2025/06/06 09:30:00 (UTC-4), INFO,内容：✅ [回测] 定投成功: 20股 @ $598.66, 余额=$940533.00。
2025/06/06 23:59:59 (UTC-4), INFO,【停止回测】回测已被停止。
